Player1,Result,FNL1,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1
Lukas Lacko,0,0,61,35,39,18,5,1,17,29,1,3,8,11,3,6,1,NA,NA
Leonardo Mayer,1,3,61,31,39,13,13,1,13,1,7,14,,,6,6,6,NA,NA
Marcos Baghdatis,0,0,52,53,48,20,8,4,37,50,1,9,16,23,4,5,4,NA,NA
Dmitry Tursunov,1,3,53,39,47,24,8,6,8,6,6,9,,,6,6,6,NA,NA
Juan Monaco,0,1,76,63,24,12,0,4,16,35,3,12,9,13,6,4,6,2,NA
Santiago Giraldo,0,1,65,51,35,22,9,3,35,41,2,7,6,12,3,2,6,6,NA
Dudi Sela,0,2,68,73,32,24,5,3,41,50,9,17,14,30,6,6,7,3,3
Fabio Fognini,1,2,47,18,53,15,3,4,21,31,6,20,6,9,6,6,NA,NA,NA
David Guez,0,0,64,26,36,12,3,,20,39,3,7,5,14,5,4,1,NA,NA
Nikolay Davydenko,1,3,77,76,23,11,6,4,6,4,7,24,,,3,6,3,6,6
Pablo Carreno Busta,0,2,53,46,47,35,7,7,47,58,4,5,19,33,3,6,6,1,2
Tommy Robredo,1,3,57,62,43,43,13,0,50,38,6,18,15,19,6,6,3,7,8
Samuel Groth,0,0,65,40,35,17,16,4,35,25,0,2,20,43,4,3,4,NA,NA
Nicolas Mahut,0,2,64,63,36,23,7,4,49,57,6,15,24,46,3,5,6,6,3
Alejandro Falla,1,3,60,50,40,23,4,2,4,2,10,28,,,6,6,6,6,NA
Stanislas Wawrinka,1,2,63,20,37,6,4,1,23,11,4,9,13,14,6,4,NA,NA,NA
Alejandro Gonzalez,0,0,68,34,32,7,2,4,22,41,5,7,11,21,3,4,4,NA,NA
Steve Johnson,0,2,53,50,47,28,21,12,21,12,4,6,,,6,3,0,7,4
Ricardas Berankis,0,0,50,39,50,26,10,3,28,38,1,3,17,31,5,5,2,NA,NA
Jeremy Chardy,1,3,66,46,34,16,9,2,31,27,4,9,12,13,6,6,6,NA,NA
Jordan Thompson,0,2,60,58,40,21,13,8,40,36,3,10,18,28,6,6,4,2,1
Albert Ramos,0,0,61,32,39,10,2,3,2,3,3,7,,,4,2,4,NA,NA
Florian Mayer,1,3,58,36,42,22,6,1,25,23,5,11,11,14,6,6,6,NA,NA
Mikhail Youzhny,1,3,69,39,31,17,5,2,11,30,7,9,5,8,6,6,6,NA,NA
Guillermo Garcia-Lopez,1,2,58,27,42,11,7,3,19,9,4,4,3,5,7,5,NA,NA,NA
Carlos Berlocq,0,1,57,49,43,32,9,4,9,4,4,13,,,4,6,7,2,NA
Dominic Thiem,1,3,55,60,45,31,20,3,20,3,5,12,,,5,6,6,7,NA
Kevin Anderson,1,3,63,76,37,28,21,9,21,9,3,14,,,2,6,6,6,6
Ivo Karlovic,0,0,66,55,34,18,25,1,48,27,1,3,24,50,6,3,6,NA,NA
Jan Hajek,0,0,73,31,27,6,2,6,2,6,1,2,,,4,2,1,NA,NA
Di Wu,0,0,60,46,40,29,3,5,33,36,2,13,23,35,5,5,6,NA,NA
Tomas Berdych,1,3,66,39,34,19,9,0,35,17,4,14,13,23,6,6,6,NA,NA
James Duckworth,0,0,52,36,48,19,13,3,34,38,0,1,19,34,4,4,2,NA,NA
Radek Stepanek,0,2,51,37,49,29,5,11,51,54,4,11,22,32,7,6,1,0,NA
Teymuraz Gabashvili,1,3,58,49,42,24,5,4,5,4,9,17,,,6,6,6,6,NA
Fernando Verdasco,1,3,61,59,39,24,20,6,44,40,5,14,7,11,5,6,6,6,NA
Daniel Brands,0,2,63,109,37,36,41,4,111,81,2,25,29,44,7,4,6,3,1
Marin Cilic,1,3,58,57,42,30,22,4,63,53,5,8,21,31,4,4,6,6,6
Thomaz Bellucci,1,2,53,39,47,24,8,6,33,37,4,7,18,22,4,6,7,NA,NA
Jo-Wilfried Tsonga,1,3,62,37,38,23,15,1,36,25,5,13,12,15,7,6,6,NA,NA
Martin Klizan,1,2,54,25,46,21,9,2,27,10,2,5,1,3,6,7,NA,NA,NA
Blaz Rola,1,3,68,57,32,13,6,8,6,8,4,9,,,6,6,7,NA,NA
Michal Przysiezny,1,3,69,48,31,17,15,0,15,0,5,8,,,6,7,7,NA,NA
Stephane Robert,1,3,46,25,54,21,4,2,22,22,9,17,11,12,7,6,6,NA,NA
Somdev Devvarman,0,0,52,34,48,28,6,1,6,1,2,7,,,4,4,6,NA,NA
Michael Berrer,1,3,63,39,37,19,9,6,9,6,5,12,,,6,7,6,NA,NA
Vincent Millot,1,3,57,63,43,34,18,9,54,68,11,26,8,11,7,4,6,6,6
Andy Murray,1,3,69,33,31,11,12,2,32,13,7,13,4,5,6,6,6,NA,NA
Rhyne Williams,0,1,57,52,43,25,29,1,55,39,1,2,12,18,7,3,4,4,NA
Roberto Bautista Agut,1,3,82,37,18,7,1,1,1,1,8,18,,,6,6,6,NA,NA
Nick Kyrgios,1,3,54,60,46,25,34,13,71,52,6,8,5,8,6,6,6,7,NA
Benoit Paire,1,3,57,54,43,22,24,6,58,25,3,12,22,35,7,6,6,NA,NA
Bradley Klahn,0,1,58,54,42,28,10,9,10,9,0,0,,,7,4,4,3,NA
Jimmy Wang,0,0,63,32,37,12,1,3,1,3,3,7,,,3,2,1,NA,NA
Peter Gojowczyk,0,0,55,44,45,22,8,6,36,59,1,6,5,7,6,6,3,NA,NA
Milos Raonic,1,3,64,56,36,17,21,7,48,29,7,20,21,30,7,6,4,6,NA
Marinko Matosevic,0,2,61,69,39,29,14,9,46,63,3,9,16,30,3,7,2,6,2
Dusan Lajovic,1,3,61,53,39,30,7,7,28,57,5,10,8,17,6,7,4,6,NA
Robin Haase,0,1,67,56,33,18,11,6,38,56,1,4,13,15,7,6,2,0,NA
Andreas Seppi,1,3,59,72,41,40,17,5,67,59,7,18,8,11,7,6,5,5,7
Ryan Harrison,0,0,62,42,38,17,2,1,19,23,0,0,13,20,4,4,4,NA,NA
Tobias Kamke,0,1,49,51,51,36,6,8,6,8,2,12,,,6,7,2,4,NA
Thanasi Kokkinakis,1,3,54,55,46,36,8,9,54,45,3,5,14,23,7,0,7,6,NA
Rafael Nadal,1,1,62,14,38,6,5,1,13,5,1,1,5,5,6,NA,NA,NA,NA
Leonardo Mayer,0,0,52,28,48,17,3,7,14,39,0,0,7,11,0,4,4,NA,NA
Dmitry Tursunov,0,1,53,45,47,26,5,5,31,44,3,10,24,38,6,6,1,4,NA
Sam Querrey,1,3,72,45,28,11,19,4,30,21,5,9,6,11,6,6,6,NA,NA
Fabio Fognini,1,3,58,62,42,30,9,12,51,60,5,15,27,33,7,6,3,6,NA
Nikolay Davydenko,0,0,77,48,23,11,6,1,39,43,4,5,9,12,6,4,4,NA,NA
Tommy Robredo,1,3,58,61,42,38,17,3,66,25,4,13,13,17,6,6,6,7,NA
Matthew Ebden,0,1,68,64,32,19,8,3,30,43,3,11,26,35,6,6,6,1,NA
Stanislas Wawrinka,1,3,56,57,44,31,9,4,61,46,6,17,23,29,6,6,6,6,NA
Adrian Mannarino,0,1,55,44,45,25,5,1,32,73,5,10,18,31,6,7,0,3,NA
Jeremy Chardy,1,3,60,74,40,30,22,10,76,73,5,14,24,38,7,7,6,7,NA
Pablo Andujar,0,1,79,71,21,20,11,1,57,28,3,11,17,26,6,6,6,3,NA
Mikhail Youzhny,0,2,55,55,45,36,14,5,48,46,3,7,14,21,4,6,3,6,3
Edouard Roger-Vasselin,1,3,57,49,43,28,11,2,11,2,7,17,,,7,6,4,6,NA
Kevin Anderson,1,3,65,43,35,18,15,5,30,22,3,5,12,15,6,6,6,NA,NA
Damir Dzumhur,0,2,51,36,49,26,7,6,33,27,3,5,12,18,4,4,6,4,NA
